University Name,description,Link,web_address,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,overall_score,image_url,Country
University of Edinburgh,"The University of Edinburgh  is a public research university based in Edinburgh, Scotland. Founded by the town council under the authority o",http://www.ed.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-edinburgh,67.3,74.1,96.4,38.9,93.8,79.4,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/University_of_Edinburgh_ceremonial_roundel.svg/150px-University_of_Edinburgh_ceremonial_roundel.svg.png,United Kingdom
University of Essex,"The University of Essex is a public research university in Essex, England. Established by royal charter in 1965, it is one of the original plate glass universities. The university comprises three campuses in the county, in Southend-on-Sea and Loughto",http://www.essex.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-essex,31.6,34.3,68.6,35,96.5,46.9,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/University_of_Essex_arms.svg/160px-University_of_Essex_arms.svg.png,United Kingdom
University of Exeter,Penryn   100 acres,http://www.ex.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-exeter,33.9,38.9,92.4,37.8,91.9,57.4,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Arms_of_the_University_of_Exeter.svg/150px-Arms_of_the_University_of_Exeter.svg.png,United Kingdom
University of Glasgow,Dentistry,http://www.gla.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-glasgow,41.1,47.9,91.8,40,92.3,62.2,https://upload.wikimedia.org/wikipedia/en/thumb/8/81/UofG_Coat_of_Arms.png/150px-UofG_Coat_of_Arms.png,United Kingdom
University of Greenwich,"The University of Greenwich is a public university located in London and Kent, United Kingdom. Previous names include Woolwich Polytechnic and Thames Polytechnic.",http://www.gre.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-greenwich,17.1,15.2,39.5,35.4,89.4,28.3,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Escutcheon_of_the_University_of_Greenwich.svg/170px-Escutcheon_of_the_University_of_Greenwich.svg.png,United Kingdom
University of Hertfordshire,"The University of Hertfordshire  is a public university in Hertfordshire, United Kingdom. The university is based largely in Hatfield, Hertfordshire. Its antecedent institution, Hatfield Technical College, was founded in 1948 and was identified a",http://www.herts.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-hertfordshire,17.5,13,42.7,35.3,80.1,28.3,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Arms_of_the_University_of_Hertfordshire.svg/220px-Arms_of_the_University_of_Hertfordshire.svg.png,United Kingdom
University of Huddersfield,"The University of Huddersfield  is a public research university located in Huddersfield, West Yorkshire, England. It has been a University since 1992, but has its origins in a series of institutions dating back to",http://www.hud.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-huddersfield,22.8,20,44.8,36.6,72,28.3,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Shield_of_the_University_of_Huddersfield.svg/200px-Shield_of_the_University_of_Huddersfield.svg.png,United Kingdom
University of Hull,"The University of Hull is a public research university in Kingston upon Hull, a city in the East Riding of Yorkshire, England. It was founded in 1927 as University College Hull. The main university campus is located in Hull and is home to the Hull Yo",http://www.hull.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-hull,22.3,23,56.1,36.3,76.5,35.3,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/University_of_Hull_arms.svg/180px-University_of_Hull_arms.svg.png,United Kingdom
University of Leeds,"The University of Leeds is a public research university in Leeds, West Yorkshire, England. It was established in 1874 as the Yorkshire College of Science. In 1884, it merged with the Leeds School of Medicine  and was renamed Yorkshi",http://www.leeds.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-leeds,41.1,45.9,78,39.9,87.5,57.1,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Coat_of_Arms_of_the_University_of_Leeds.svg/150px-Coat_of_Arms_of_the_University_of_Leeds.svg.png,United Kingdom
University of Leicester,"The University of Leicester  is a public research university based in Leicester, England. The main campus is south of the city centre, adjacent to Victoria Park. The university's predecessor, University College, Leicester, gained",http://www.le.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-leicester,30.1,34.8,96.2,38.1,90.7,56.1,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Escutcheon_of_University_of_Leicester.svg/150px-Escutcheon_of_University_of_Leicester.svg.png,United Kingdom
University of Lincoln,"The University of Lincoln is a public research university in Lincoln, England, with origins dating back to 1861. It gained university status in 1992 and its present name in 2001. The main campus is in the heart of the city of Lincoln alongside the",http://www.lincoln.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-lincoln,16.5,14.1,64.3,35.3,71.2,28.3,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/University_of_Lincoln_coat_of_arms.jpg/160px-University_of_Lincoln_coat_of_arms.jpg,United Kingdom
University of Liverpool,"The University of Liverpool  is a public research university in Liverpool, England. Founded in 1881 as University College Liverpool, Victoria University, it received Royal Charter by King Edward VII in 1903 attaining the decree to aw",http://www.liv.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-liverpool,35.2,37.5,88.8,38.8,92.2,56.3,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Arms_of_the_University_of_Liverpool.svg/110px-Arms_of_the_University_of_Liverpool.svg.png,United Kingdom
University of Manchester,"The University of Manchester is a public research university in Manchester, England. The main campus is south of Manchester City Centre on Oxford Road. The university owns and operates major cultural assets such as the Manchester Museum, The Whitwort",http://www.man.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-manchester,56.9,63.8,85.2,44.7,91,69.7,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Shield_of_the_University_of_Manchester.svg/150px-Shield_of_the_University_of_Manchester.svg.png,United Kingdom
University of Nottingham,"The University of Nottingham is a public research university in Nottingham, England. It was founded as University College Nottingham in 1881, and was granted a royal charter in 1948.",http://www.nottingham.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-nottingham,42.7,42.6,80.3,39.4,87.5,57.2,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Shield_of_the_University_of_Nottingham.svg/175px-Shield_of_the_University_of_Nottingham.svg.png,United Kingdom
University of Oxford,"The University of Oxford is a collegiate research university in Oxford, England. There is evidence of teaching as early as 1096, making it the oldest university in the English-speaking world and the world's second-oldest university in continuous o",http://www.ox.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-oxford,90.5,99.6,98.4,65.5,96.4,95.4,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Arms_of_University_of_Oxford.svg/150px-Arms_of_University_of_Oxford.svg.png,United Kingdom
University of Plymouth,"The University of Plymouth is a public research university based predominantly in Plymouth, England, where the main campus is located, but the university has campuses and affiliated colleges across South West England. With 18,410 students, it is the",http://www.plymouth.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-plymouth,20.3,19.3,67.5,35,70.3,35.3,https://upload.wikimedia.org/wikipedia/en/thumb/a/aa/University_of_Plymouth_COA.png/200px-University_of_Plymouth_COA.png,United Kingdom
University of Portsmouth,"The University of Portsmouth  is a public university in Portsmouth, England. Comprising five faculties, the university offers a wide range of academic disciplines.  With around 28,280 students enrolled in undergraduate and postgraduate pro",http://www.port.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-portsmouth,17.8,16.2,71,34.9,87.7,38.8,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/University_of_Portsmouth_coat_of_arms.png/250px-University_of_Portsmouth_coat_of_arms.png,United Kingdom
University of Reading,"The University of Reading is a public research university in Reading, Berkshire, England. It was founded in 1892 as University College, Reading, a University of Oxford extension college. The institution received the power to grant its own degrees",http://www.rdg.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-reading,32.1,35.2,76.9,40.3,91.9,50.1,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Reading_shield.png/175px-Reading_shield.png,United Kingdom
University of Salford,"The University of Salford is a public research university in Salford, Greater Manchester, England, 1 mile  west of Manchester city centre. The Royal Technical Institute, Salford, which opened in 1896, became a College of Advanced Tech",http://www.salford.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-salford,18.7,14.8,38.7,34.8,70.1,22.2,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Coat_of_arms_of_the_University_of_Salford.svg/200px-Coat_of_arms_of_the_University_of_Salford.svg.png,United Kingdom
University of Sheffield,"The University of Sheffield  is a public research university in Sheffield, South Yorkshire, England. Its history traces back to the foundation of Sheffield Medical School in 1828, Firth College in",http://www.shef.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-sheffield,45.2,46.4,83,45.8,87.3,60.1,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Coat_of_arms_of_the_University_of_Sheffield.svg/180px-Coat_of_arms_of_the_University_of_Sheffield.svg.png,United Kingdom
University of Southampton,"The University of Southampton  is a public research university in Southampton, England. Southampton is a founding member of the Russell Group of research-intensive universities in the United Kingdom.",http://www.soton.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-southampton,40.2,44.3,88,40.1,94.2,59.8,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Shield_of_the_University_of_Southampton.svg/135px-Shield_of_the_University_of_Southampton.svg.png,United Kingdom
University of Stirling,"The University of Stirling ) is a public university in Stirling, Scotland, founded by a royal charter in 1967. It is located in the",http://www.stir.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-stirling,23.6,25.3,75.5,35.2,82.1,42.4,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/2024_Crest.png/150px-2024_Crest.png,United Kingdom
University of Strathclyde,"The University of Strathclyde  is a public research university located in Glasgow, Scotland. Founded in 1796 as the Andersonian Institute, it is Glasgow's second-oldest university, having received its roy",http://www.strath.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-strathclyde,28.3,31.6,51.9,43.6,86.2,38.8,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/University_of_Strathclyde_Coat_of_Arms.svg/150px-University_of_Strathclyde_Coat_of_Arms.svg.png,United Kingdom
University of Surrey,"The University of Surrey is a public research university in Guildford, Surrey, England. The university received its royal charter in 1966, along with a number of other institutions following recommendations in the Robbins Report. The institution was",http://www.surrey.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-surrey,30.2,34.3,71.9,46.8,93.7,46.9,https://upload.wikimedia.org/wikipedia/en/thumb/e/ee/University_of_Surrey_coat_of_arms.svg/170px-University_of_Surrey_coat_of_arms.svg.png,United Kingdom
University of Sussex,"The University of Sussex is a public research university located in Falmer, East Sussex, England. It lies mostly within the city boundaries of Brighton and Hove. Its large campus site is surrounded by the South Downs National Park, and provides conve",http://www.sussex.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-sussex,35.3,37.9,91.8,35.9,93.6,57.4,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Arms_of_the_University_of_Sussex_%28Escutcheon_Only%29_NoOutline.svg/220px-Arms_of_the_University_of_Sussex_%28Escutcheon_Only%29_NoOutline.svg.png,United Kingdom
University of Warwick,"The University of Warwick  is a public research university on the outskirts of Coventry between the West Midlands and Warwickshire, England. The university was founded in 1965 as p",http://www.warwick.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-warwick,46.9,52.7,88.8,42.8,93.8,64.6,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Warwick_University_Shield.svg/140px-Warwick_University_Shield.svg.png,United Kingdom
University of Westminster,"The University of Westminster is a public university based in London, United Kingdom. Founded in 1838 as the Royal Polytechnic Institution, it was the first polytechnic to open in London. The Polytechnic formally received a Royal charter in August",http://www.westminster.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-westminster,18.2,16.2,36.7,34.8,86.7,28.3,https://upload.wikimedia.org/wikipedia/en/thumb/a/ab/UniWestminster_Coat_of_Arms.png/220px-UniWestminster_Coat_of_Arms.png,United Kingdom
University of Wolverhampton,"The University of Wolverhampton is a public university in Wolverhampton, England, located on four campuses across the West Midlands, Shropshire and Staffordshire. Originally founded in 1827 as the Wolverhampton Tradesmen's and Mechanics' Institute, t",http://www.wlv.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-wolverhampton,15.8,13.3,35,34.5,65.3,22.2,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Escutcheon_of_the_University_of_Wolverhampton.svg/170px-Escutcheon_of_the_University_of_Wolverhampton.svg.png,United Kingdom
University of York,"The University of York  is a public collegiate research university in York, England. Established in 1963, the university has expanded to more than thirty departments and centres, covering a wide range",http://www.york.ac.uk/,https://www.timeshighereducation.com/world-university-rankings/university-york,40.3,46.6,85.1,36.4,85.4,58.9,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/University_of_York_coat_of_arms.svg/150px-University_of_York_coat_of_arms.svg.png,United Kingdom
University of Ghana,"The University of Ghana is a public university located in Accra, Ghana. It is the oldest public university in Ghana.",http://www.ug.edu.gh/,https://www.timeshighereducation.com/world-university-rankings/university-ghana,15.6,15.5,28.1,48,49.5,22.2,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/UoG_CoA_2017.svg/220px-UoG_CoA_2017.svg.png,Ghana
Aristotle University of Thessaloniki,The Aristotle University of Thessaloniki  is the second oldest tertiary education institution within Greece. Named after t,http://www.auth.gr/,https://www.timeshighereducation.com/world-university-rankings/aristotle-university-thessaloniki,19.2,16.8,64.3,41.3,41.2,28.3,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Aristotle_University_of_Thessaloniki_logo.svg/200px-Aristotle_University_of_Thessaloniki_logo.svg.png,Greece
Athens University of Economics and Business,"Athens University of Economics and Business  was founded in 1920 in Athens, Greece and is the oldest university in Greece in the field of economics. Befor",http://www.aueb.gr/,https://www.timeshighereducation.com/world-university-rankings/athens-university-economics-and-business,17.8,21.2,39.3,37.8,45.4,22.2,https://upload.wikimedia.org/wikipedia/en/thumb/f/f5/Athens_University_of_Economics_and_Business_Logo.jpg/150px-Athens_University_of_Economics_and_Business_Logo.jpg,Greece
National Technical University of Athens,"The National  Technical University of Athens , sometimes known as Athens Polytechnic, a university in Athens, Greece. It is named Metsovio in honor of its benefac",http://www.ntua.gr/,https://www.timeshighereducation.com/world-university-rankings/national-technical-university-athens,23,12.8,45,71.5,38.6,28.3,https://upload.wikimedia.org/wikipedia/en/a/a9/Pyrforos2.png,Greece
University of Crete,"The University of Crete  is a multi-disciplinary, research-oriented institution in Crete, Greece, located in the cities of Rethymno  and Heraklion.",http://www.uoc.gr/,https://www.timeshighereducation.com/world-university-rankings/university-crete,17.7,20.1,91.4,38.7,48,42.4,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/University_of_Crete%2C_Rethymno_Campus_04_-_Department_of_History_and_Archaeology.jpg/260px-University_of_Crete%2C_Rethymno_Campus_04_-_Department_of_History_and_Archaeology.jpg,Greece
University of Ioannina,"The University of Ioannina  is a public university located in Ioannina, Greece. The university was founded in 1964, as a charter of the Aristotle University of Thessaloniki and became an ind",http://www.uoi.gr/,https://www.timeshighereducation.com/world-university-rankings/university-ioannina,16.5,14.7,60.2,37.3,43.4,28.3,https://upload.wikimedia.org/wikipedia/en/thumb/b/b6/University_of_Ioannina_logo.jpg/250px-University_of_Ioannina_logo.jpg,Greece
University of Patras,"The University of Patras  is a public university in Patras, Greece.  It is the third-largest university in Greece with respect to the size of the student body, the staff, and the number of dep",http://www.upatras.gr/,https://www.timeshighereducation.com/world-university-rankings/university-patras,16.5,11.6,39.4,39.4,37.7,22.2,0,Greece
University of Thessaly,"The University of Thessaly  is a public university in Thessaly, Greece, founded in 1984. The university includes the main campus in the city of Volos and regional campuses located in Karditsa, Larissa, Trikala,",http://www.uth.gr/,https://www.timeshighereducation.com/world-university-rankings/university-thessaly,15.7,20.2,48.7,42.8,39.1,28.3,https://upload.wikimedia.org/wikipedia/en/thumb/3/38/University_of_Thessaly_logo.png/220px-University_of_Thessaly_logo.png,Greece
City University of Hong Kong,"The City University of Hong Kong  is a public research university located in Kowloon Tong, Kowloon, Hong Kong. It was founded in 1984 as the City Polytechnic of Hong Kong and became a fully accredited university in 1994.",http://www.cityu.edu.hk/,https://www.timeshighereducation.com/world-university-rankings/city-university-hong-kong,41,48.9,77.6,62.4,99.6,59.3,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/City_University_of_Hong_Kong_logo.svg/200px-City_University_of_Hong_Kong_logo.svg.png,Hong Kong SAR
Hong Kong Baptist University,"Hong Kong Baptist University  is a public liberal arts university with a Christian education heritage in Kowloon Tong, Kowloon, Hong Kong.",http://www.hkbu.edu.hk/,https://www.timeshighereducation.com/world-university-rankings/hong-kong-baptist-university,27.9,22,58.1,38.4,97.6,38.8,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/HKBU_Logo.svg/150px-HKBU_Logo.svg.png,Hong Kong SAR
University of Hong Kong,"The University of Hong Kong  is a public research university in Pokfulam, Hong Kong. It was founded in 1887 as the Hong Kong College of Medicine for Chinese by the London Missionary Society and formally established as the University of Hong Kong",http://www.hku.hk/,https://www.timeshighereducation.com/world-university-rankings/university-hong-kong,69.5,77.2,76.6,59.7,98.6,75.9,https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/University_of_Hong_Kong_coat_of_arms.png/150px-University_of_Hong_Kong_coat_of_arms.png,Hong Kong SAR
University of Split,"The University of Split  is a university located in Split, Croatia. It was founded in 1974. and is organized in 13 faculties and 124 faculty programmes. As of 2009, a total of",http://www.unist.hr/,https://www.timeshighereducation.com/world-university-rankings/university-split,15.7,12.3,56.8,40.1,41.3,28.3,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/University_of_Split_logo.png/220px-University_of_Split_logo.png,Croatia
University of Zagreb,"The University of Zagreb is a public research university in Zagreb, Croatia. It is the largest Croatian university and one of the oldest continuously operating universities",http://www.unizg.hr/,https://www.timeshighereducation.com/world-university-rankings/university-zagreb,17.8,12.9,25.3,37.4,33,10.7,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/UniZg.png/220px-UniZg.png,Croatia
Szent Istv�n University,"The Hungarian University of Agriculture and Life Sciences is a university of technology in Hungary. Its headquarters and main campus are located about 30 kilometres from the capital, Budapest, in the Central Hungarian town of G",http://www.szie.hu/,https://www.timeshighereducation.com/world-university-rankings/szent-istvan-university,16.5,10.5,17.8,35.4,40.1,10.7,0,Hungary
University of Szeged,"The University of Szeged  is a public research university in Szeged, Hungary. Established as the Jesuit Academy of Kolozsv�r in present-day Cluj-Napoca in 1581, the institution was re-established as a university in",http://www.u-szeged.hu/,https://www.timeshighereducation.com/world-university-rankings/university-szeged,21.8,12.4,36.6,36.5,54.4,22.2,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Seal_of_the_University_of_Szeged_b%26w.gif/220px-Seal_of_the_University_of_Szeged_b%26w.gif,Hungary
Institut Teknologi Sepuluh Nopember,"Sepuluh Nopember Institute of Technology  is a national public research university located in Surabaya, East Java, with a strong emp",http://www.its.ac.id/,https://www.timeshighereducation.com/world-university-rankings/institut-teknologi-sepuluh-nopember,19.6,11.1,23.4,62.6,34.7,10.7,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Sepuluh_Nopember_Institute_of_Technology_Logo.png/200px-Sepuluh_Nopember_Institute_of_Technology_Logo.png,Indonesia
Universitas Gadjah Mada,"Gadjah Mada University  is a public research university located in Sleman, Special Region of Yogyakarta, Indonesia. Officially founded on",http://www.ugm.ac.id/,https://www.timeshighereducation.com/world-university-rankings/universitas-gadjah-mada,23.4,11,15.7,61.4,34.1,10.7,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/Gadjah_Mada_University_Logo.gif/180px-Gadjah_Mada_University_Logo.gif,Indonesia
Dublin City University,"Dublin City University   is a university based on the Northside of Dublin, Ireland. Created as the National Institute for Higher Education, Dublin in 1975, it enrolled its first stud",http://www.dcu.ie/,https://www.timeshighereducation.com/world-university-rankings/dublin-city-university,21,25.2,49.7,42.8,71.8,28.3,https://upload.wikimedia.org/wikipedia/en/thumb/b/b2/Dublin_City_University_%28logo%29.png/150px-Dublin_City_University_%28logo%29.png,Ireland
University College Cork,"University College Cork   National University of Ireland, Cork   is a constituent university of the National University of Ireland, and located in Cork.",http://www.ucc.ie/,https://www.timeshighereducation.com/world-university-rankings/university-college-cork,24.9,23.1,77.5,44.5,81.3,44.5,https://upload.wikimedia.org/wikipedia/en/thumb/0/09/University_College_Cork_logo.svg/220px-University_College_Cork_logo.svg.png,Ireland
University College Dublin,"University College Dublin   is a public research university in Dublin, Ireland, and a member institution of the National University of Ireland. With 38,417 st",http://www.ucd.ie/,https://www.timeshighereducation.com/world-university-rankings/university-college-dublin,30.8,36.5,73.6,43.9,92.5,50.1,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/UCD_Dublin.png/120px-UCD_Dublin.png,Ireland
University of Limerick,"University of Limerick   is a public research university institution in Limerick, Ireland. Founded in 1972 as the National Institute for Higher Education, Limerick, it became a university in September 1989 in accordance",http://www.ul.ie/,https://www.timeshighereducation.com/world-university-rankings/university-limerick,20.1,23.5,54.6,39.2,83.7,35.3,https://upload.wikimedia.org/wikipedia/en/thumb/b/b0/University_of_Limerick_Heraldic_Crest.png/200px-University_of_Limerick_Heraldic_Crest.png,Ireland
Bar-Ilan University,"Bar-Ilan University  is a public research university in the Tel Aviv District city of Ramat Gan, Israel. Established in 1955, Bar Ilan is Israel's second-largest academic university institution.",http://www.biu.ac.il/,https://www.timeshighereducation.com/world-university-rankings/bar-ilan-university,29.9,36.5,44.2,46.6,52.9,35.3,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Bar_Ilan_seal.svg/150px-Bar_Ilan_seal.svg.png,Israel
Hebrew University of Jerusalem,"The Hebrew University of Jerusalem  is an Israeli public research university based in Jerusalem. Co-founded by Albert Einstein and Chaim Weizmann in July 1918, the public university offi",http://www.huji.ac.il/,https://www.timeshighereducation.com/world-university-rankings/hebrew-university-jerusalem,48.2,45.1,62.3,41.4,60.3,50.1,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/MountScopusDec032022_03.jpg/220px-MountScopusDec032022_03.jpg,Israel
Tel Aviv University,"Tel Aviv University  is a public research university in Tel Aviv, Israel. With over 30,000 students, it is the largest university in the country. Located in northwest Tel Aviv, the university is the center of teaching and research of the c",http://www.tau.ac.il/,https://www.timeshighereducation.com/world-university-rankings/tel-aviv-university,41.3,51.3,71.2,41.8,54.7,54.3,https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/Tel_Aviv_university_logo.svg/205px-Tel_Aviv_university_logo.svg.png,Israel
University of Haifa,"The University of Haifa  is a public research university located on Mount Carmel in Haifa, Israel. Founded in 1963, the University of Haifa received full academic accreditation in 1972, becoming Israel's s",http://www.haifa.ac.il/,https://www.timeshighereducation.com/world-university-rankings/university-haifa,26.7,31.9,52.8,36.3,35.9,35.3,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Haifa_logo_official_apperence_dark_%28cropped%29.png/220px-Haifa_logo_official_apperence_dark_%28cropped%29.png,Israel
Acharya Nagarjuna University,"Acharya Nagarjuna University   is a state university in Namburu, Guntur district, Andhra Pradesh, India.",http://www.nagarjunauniversity.ac.in/,https://www.timeshighereducation.com/world-university-rankings/acharya-nagarjuna-university,39.9,9.2,15.7,41.8,23.5,22.2,https://upload.wikimedia.org/wikipedia/en/thumb/2/2a/Acharya_Nagarjuna_University_crest.png/220px-Acharya_Nagarjuna_University_crest.png,India
Aligarh Muslim University,"Aligarh Muslim University is a collegiate, central, and research university located in Aligarh, Uttar Pradesh, India, which was originally established by Sir Syed Ahmad Khan as the Muhammadan Anglo-Oriental College in 1875. Muhammadan Anglo-Ori",http://www.amu.ac.in/,https://www.timeshighereducation.com/world-university-rankings/aligarh-muslim-university,29,10.4,41.1,34.5,23.6,22.2,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Aligarh_Muslim_University_logo.png/200px-Aligarh_Muslim_University_logo.png,India
Andhra University,"Andhra University  is a public university located in Visakhapatnam, Andhra Pradesh, India. It was established in 1926. It is graded as an A institution by NAAC receiving a score of 3.74 on a scale of 4.",http://www.andhrauniversity.info/,https://www.timeshighereducation.com/world-university-rankings/andhra-university,37.4,10.8,8,42.5,15.5,10.7,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/Andhra_University_logo.png/220px-Andhra_University_logo.png,India
Annamalai University,"The Annamalai University  is a public state university in Chidambaram, Tamil Nadu, India. The 1,500-acre  sprawling campus offers courses of higher education in arts, science, engineering, management, humanities,",http://www.annamalaiuniversity.ac.in/,https://www.timeshighereducation.com/world-university-rankings/annamalai-university,29.2,8.6,18.7,35.3,16.8,10.7,https://upload.wikimedia.org/wikipedia/en/thumb/2/2a/Annamalai_University_logo.png/180px-Annamalai_University_logo.png,India
Anna University,"Anna University is a public state university located in Chennai, Tamil Nadu, India. The main campus is in Guindy. It was originally established on 4 September 1978 and is named after C.N.Annadurai, the former Chief Minister of Tamil Nadu.",http://www.annauniv.edu/,https://www.timeshighereducation.com/world-university-rankings/anna-university,22.6,14.1,18.5,41.9,14.8,10.7,https://upload.wikimedia.org/wikipedia/en/thumb/4/49/Anna_University_Logo.svg/220px-Anna_University_Logo.svg.png,India
Banaras Hindu University,"Banaras Hindu University , formerly Benares Hindu University,   is a collegiate, central, and research university located in Varanasi, Uttar Pradesh, India, and founded in 1916. The university incorporated the Central Hindu Colle",http://www.bhu.ac.in/,https://www.timeshighereducation.com/world-university-rankings/banaras-hindu-university,30.8,16.4,46.7,34.6,17.7,28.3,https://upload.wikimedia.org/wikipedia/en/thumb/c/ca/Banaras_Hindu_University_Emblem_Seal_Transparent.png/100px-Banaras_Hindu_University_Emblem_Seal_Transparent.png,India
Banasthali University,"Banasthali Vidyapith, also known as Banasthali University, is a private university located in the Tonk district in the Indian state of Rajasthan. The university offers programs at the secondary, senior secondary, undergraduate, and postgraduate de",http://www.banasthali.org/,https://www.timeshighereducation.com/world-university-rankings/banasthali-university,33,10,11.1,39.3,18.7,10.7,https://upload.wikimedia.org/wikipedia/en/thumb/e/e9/Banasthali_Vidyapeeth_Logo.png/200px-Banasthali_Vidyapeeth_Logo.png,India
Cochin University of Science and Technology,"Cochin University of Science and Technology  is a state government-owned autonomous university in Kochi, Kerala, India. It was founded in 1971 and has three campuses: two in Kochi  and one in Kuttanad, Alappuzha, 66",http://www.cusat.ac.in/,https://www.timeshighereducation.com/world-university-rankings/cochin-university-science-and-technology,23.3,10.7,7.7,34.7,14.5,10.7,https://upload.wikimedia.org/wikipedia/en/6/6f/Cochin_University_of_Science_and_Technology_Logo.png,India
Indian Institute of Science,"The Indian Institute of Science  is a public, deemed, research university for higher education and research in science, engineering, design, and management. It is located in Bengaluru, Karnataka. The institute was established in 1909 with activ",http://www.iisc.ernet.in/,https://www.timeshighereducation.com/world-university-rankings/indian-institute-science,58.6,55.3,32.4,57.1,20.2,44.5,https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/Indian_Institute_of_Science_2019_logo.svg/150px-Indian_Institute_of_Science_2019_logo.svg.png,India
Jadavpur University,"Jadavpur University  is a public state funded research and technology university with its main campus located at Jadavpur, Kolkata, West Bengal, India. It was established on July 25, 1906 as Bengal Technical Institute and was converted i",http://www.jadavpur.edu/,https://www.timeshighereducation.com/world-university-rankings/jadavpur-university,33.8,22.3,28.5,40.8,15.4,22.2,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Jadavpur_University_Gate_No._4.jpg/288px-Jadavpur_University_Gate_No._4.jpg,India
